id_nutrition_log,log_date,meal_type,water_intake_ml,id_user,id_food,food_item,category,calories_kcal,protein_g,carbohydrates_g,fat_g
46,2026-02-23,Dinner,0,,46,Green Beans (1 cup),Vegetable,31.0,1.8,7.0,0.2
47,2026-02-23,Snack,0,,47,Chocolate Chip Cookie (1 large),Dessert,220.0,2.5,30.0,11.0
48,2026-02-23,Dinner,250,,48,Shrimp (3oz steamed),Protein/Fish,84.0,20.0,0.2,0.2
49,2026-02-23,Breakfast,0,,49,Pancakes (2 medium),Grain,180.0,5.0,30.0,5.0
50,2026-02-23,Breakfast,0,,50,Maple Syrup (2 tbsp),Condiment,104.0,0.0,27.0,0.0
51,2026-02-23,Breakfast,0,,51,Sausage Link (1 cooked),Protein/Meat,85.0,5.0,1.0,7.0
52,2026-02-23,Breakfast,250,,52,Smoothie (Fruit & Yogurt),Beverage/Meal,280.0,12.0,55.0,3.0
53,2026-02-23,Lunch,0,,53,Tofu (4oz firm),Protein/Vegetarian,90.0,10.0,3.0,5.0
54,2026-02-23,Lunch,0,,54,Brown Rice (1 cup cooked),Grain,215.0,5.0,45.0,1.8
55,2026-02-23,Lunch,0,,55,Bell Pepper (1 medium red),Vegetable,31.0,1.2,6.0,0.3
56,2026-02-23,Snack,0,,56,Hummus (2 tbsp),Legume,70.0,2.0,4.0,5.0
57,2026-02-23,Snack,0,,57,Pita Bread (1 whole wheat),Grain,170.0,6.0,35.0,1.5
58,2026-02-23,Dinner,250,,58,Pork Chop (4oz grilled),Protein/Meat,220.0,30.0,0.0,10.0
59,2026-02-23,Dinner,0,,59,Mashed Potatoes (1 cup),Vegetable,230.0,4.0,35.0,8.0
60,2026-02-23,Dinner,0,,60,Corn (1 cup),Vegetable,132.0,4.7,30.0,1.8
61,2026-02-23,Snack,355,,61,Soda (1 can Coke),Beverage,140.0,0.0,39.0,0.0
62,2026-02-23,Snack,0,,62,Pretzels (1 oz),Grain/Processed,110.0,3.0,23.0,1.0
63,2026-02-23,Snack,0,,63,Cheddar Cheese (1 oz),Dairy,115.0,7.0,1.0,9.5
64,2026-02-23,Lunch,250,,64,Caesar Salad (with chicken),Meal/Protein,470.0,30.0,15.0,30.0
65,2026-02-23,Breakfast,240,,65,Orange Juice (1 cup),Beverage,112.0,1.7,25.8,0.5
66,2026-02-23,Breakfast,0,,66,Bacon (2 slices cooked),Protein/Meat,86.0,6.0,0.2,6.8
67,2026-02-23,Breakfast,0,,67,Waffles (2 homemade),Grain,220.0,6.0,28.0,9.0
68,2026-02-23,Snack,0,,68,Pear,Fruit,101.0,0.6,27.0,0.2
69,2026-02-23,Lunch,500,,69,Chicken Breast (4oz roasted),Protein/Meat,185.0,35.0,0.0,4.0
70,2026-02-23,Snack,0,,70,Mixed Nuts (1/4 cup),Nut,200.0,6.0,8.0,18.0
71,2026-02-23,Dinner,0,,71,Tilapia (4oz baked),Protein/Fish,110.0,22.0,0.0,2.5
72,2026-02-23,Dinner,0,,72,Asparagus (1 cup steamed),Vegetable,40.0,4.3,7.4,0.4
73,2026-02-23,Dinner,0,,73,Sweet Potato (1 medium baked),Vegetable,103.0,2.3,23.6,0.2
74,2026-02-23,Snack,250,,74,Popcorn (3 cups air-popped),Grain,93.0,3.0,18.6,1.1
75,2026-02-23,Snack,0,,75,Raisins (1/4 cup),Fruit,130.0,1.3,34.0,0.2
76,2026-02-23,Lunch,250,,76,Macaroni & Cheese (1 cup),Meal/Pasta,350.0,10.0,40.0,17.0
77,2026-02-23,Lunch,0,,77,Tomato Soup (1 can),Meal/Vegetable,170.0,4.0,25.0,6.0
78,2026-02-23,Lunch,0,,78,Grilled Cheese Sandwich,Meal/Processed,390.0,15.0,32.0,22.0
79,2026-02-23,Dinner,500,,79,Beef Tacos (2 hard shell),Meal/Meat,380.0,18.0,28.0,22.0
80,2026-02-23,Dinner,0,,80,Refried Beans (1/2 cup),Legume,115.0,7.0,19.0,1.0
81,2026-02-23,Dinner,0,,81,Guacamole (1/4 cup),Vegetable/Condiment,90.0,1.0,4.0,8.0
82,2026-02-23,Snack,0,,82,Watermelon (1 cup diced),Fruit,46.0,0.9,11.5,0.2
83,2026-02-23,Breakfast,250,,83,English Muffin (whole wheat),Grain,134.0,6.0,26.0,1.0
84,2026-02-23,Lunch,250,,84,Peanut Butter & Jelly Sandwich,Meal/Processed,390.0,12.0,50.0,17.0
85,2026-02-23,Lunch,0,,85,Clam Chowder (1 cup),Meal/Seafood,200.0,10.0,18.0,9.0
86,2026-02-23,Snack,500,,86,Iced Tea (Sweetened 16oz),Beverage,180.0,0.0,46.0,0.0
87,2026-02-23,Dinner,250,,87,Lasagna (1 serving meat),Meal/Pasta,350.0,20.0,30.0,17.0
88,2026-02-23,Dinner,0,,88,Garlic Bread (1 slice),Grain,150.0,4.0,18.0,7.0
89,2026-02-23,Snack,0,,89,Chocolate Milk (1 cup),Beverage/Dairy,200.0,8.0,26.0,8.0
90,2026-02-23,Breakfast,0,,90,White Bread (1 slice),Grain,70.0,2.0,13.0,1.0
91,2026-02-23,Breakfast,0,,91,Jelly (1 tbsp grape),Condiment,50.0,0.0,13.0,0.0
92,2026-02-23,Lunch,250,,92,Veggie Burger (1 patty),Protein/Vegetarian,120.0,11.0,10.0,4.0
93,2026-02-23,Lunch,0,,93,Bun (hamburger),Grain,140.0,4.0,26.0,2.0
94,2026-02-23,Lunch,0,,94,Ketchup (1 tbsp),Condiment,20.0,0.2,5.0,0.1
95,2026-02-23,Breakfast,250,,95,Muffin (Blueberry 1 large),Grain/Dessert,380.0,5.0,55.0,16.0
96,2026-02-23,Breakfast,250,,96,Coffee (with cream/sugar),Beverage,50.0,0.5,5.0,3.0
97,2026-02-23,Snack,0,,97,Potato Chips (1 oz),Snack/Processed,160.0,2.0,15.0,10.0
98,2026-02-23,Dinner,0,,98,Tzatziki Sauce (2 tbsp),Condiment/Dairy,30.0,1.5,2.0,2.0
99,2026-02-23,Dinner,0,,99,Scallops (3oz seared),Protein/Seafood,95.0,17.0,5.0,1.0
100,2026-02-23,Dinner,0,,100,Risotto (Mushroom 1 cup),Meal/Grain,250.0,7.0,35.0,9.0
101,2026-02-23,Lunch,250,,101,Caprese Salad,Meal/Vegetable,240.0,10.0,8.0,18.0
102,2026-02-23,Lunch,0,,102,Balsamic Vinaigrette (2 tbsp),Condiment,90.0,0.0,3.0,9.0
103,2026-02-23,Snack,0,,103,Cherries (1 cup),Fruit,77.0,1.6,19.0,0.5
104,2026-02-23,Breakfast,0,,104,Turkey Bacon (2 slices),Protein/Meat,70.0,6.0,1.0,5.0
105,2026-02-23,Breakfast,0,,105,Grits (1 cup cooked),Grain,150.0,3.0,32.0,1.0
106,2026-02-23,Breakfast,0,,106,Butter (1 tbsp),Condiment/Dairy,100.0,0.1,0.0,11.0
107,2026-02-23,Lunch,500,,107,Meatball Sub (6 inch),Meal/Processed,580.0,28.0,55.0,27.0
108,2026-02-23,Snack,0,,108,Kiwifruit (1 medium),Fruit,46.0,0.9,11.1,0.4
109,2026-02-23,Snack,0,,109,Beef Jerky (1 oz),Snack/Processed,116.0,9.4,3.1,7.2
110,2026-02-23,Snack,0,,110,Figs (2 medium),Fruit,74.0,0.6,19.2,0.3
111,2026-02-23,Dinner,250,,111,Lobster (3oz steamed),Protein/Seafood,76.0,16.0,0.0,0.7
112,2026-02-23,Dinner,0,,112,Melted Butter (for lobster),Condiment,200.0,0.2,0.0,22.0
113,2026-02-23,Dinner,0,,113,Corn on the Cob (1 large),Vegetable,125.0,5.0,29.0,1.5
114,2026-02-23,Lunch,250,,114,Vegetable Soup (1 can),Meal/Vegetable,140.0,4.0,22.0,4.0
115,2026-02-23,Lunch,0,,115,Saltine Crackers (5 crackers),Grain/Processed,60.0,1.0,10.0,1.5
116,2026-02-23,Snack,0,,116,Mango (1 cup slices),Fruit,99.0,1.4,24.7,0.6
117,2026-02-23,Snack,250,,117,Cheesecake (1 slice),Dessert,320.0,5.0,28.0,21.0
118,2026-02-23,Dinner,500,,118,Pad Thai (Chicken 1.5 cups),Meal/Pasta,550.0,25.0,60.0,22.0
119,2026-02-23,Dinner,0,,119,Spring Roll (Veg 2 rolls),Snack/Processed,180.0,4.0,25.0,7.0
120,2026-02-23,Snack,240,,120,Coconut Water (1 cup),Beverage,46.0,1.7,8.9,0.5
121,2026-02-23,Side,0,,121,Kimchi (1/2 cup),Vegetable,22.0,1.7,4.0,0.4
122,2026-02-23,Lunch,0,,122,Sashimi (Salmon 3 pcs),Protein/Fish,120.0,18.0,0.0,5.0
123,2026-02-23,Lunch,0,,123,Wasabi (1 tsp),Condiment,10.0,0.1,2.2,0.1
124,2026-02-23,Lunch,0,,124,Seaweed Salad (1/2 cup),Vegetable,60.0,2.0,8.0,3.0
125,2026-02-23,Lunch,250,,125,French Onion Soup (1 cup),Meal,150.0,6.0,15.0,7.0
126,2026-02-23,Lunch,0,,126,Croutons (1/4 cup),Grain,50.0,1.5,7.0,2.0
127,2026-02-23,Dinner,250,,127,Shepherd's Pie (1 serving),Meal/Meat,400.0,20.0,35.0,20.0
128,2026-02-23,Dinner,0,,128,Green Peas (1/2 cup),Legume,62.0,4.1,11.1,0.2
129,2026-02-23,Snack,0,,129,Apple Pie (1 slice),Dessert,410.0,3.0,58.0,19.0
130,2026-02-23,Snack,180,,130,Gin & Tonic (1 drink),Beverage,170.0,0.0,13.0,0.0
131,2026-02-23,Dinner,0,,131,Red Wine (5 oz glass),Beverage,125.0,0.1,3.8,0.0
132,2026-02-23,Dinner,250,,132,Halibut (4oz baked),Protein/Fish,125.0,24.0,0.0,2.5
133,2026-02-23,Lunch,250,,133,Quinoa Salad (1 cup),Meal/Vegetarian,260.0,9.0,32.0,12.0
134,2026-02-23,Snack,240,,134,Lemonade (1 cup),Beverage,99.0,0.1,26.0,0.0
135,2026-02-23,Snack,0,,135,Pistachios (1 oz shelled),Nut,159.0,5.7,7.7,12.8
136,2026-02-23,Breakfast,0,,136,Oat Milk (1 cup),Beverage/Dairy-Alt,120.0,3.0,16.0,5.0
137,2026-02-23,Breakfast,250,,137,Biscuits and Gravy (1 serving),Meal/Processed,480.0,10.0,45.0,28.0
138,2026-02-23,Breakfast,0,,138,Avocado (1/2 fruit),Fruit,160.0,2.0,8.5,14.7
139,2026-02-23,Breakfast,0,,139,Corn Flakes (1 cup),Grain,100.0,2.0,24.0,0.0
140,2026-02-23,Dinner,0,,140,T-Bone Steak (6oz),Protein/Meat,460.0,38.0,0.0,33.0
141,2026-02-23,Dinner,0,,141,Creamed Spinach (1/2 cup),Vegetable,190.0,5.0,8.0,16.0
142,2026-02-23,Snack,0,,142,Pecans (1 oz),Nut,196.0,2.6,3.9,20.4
143,2026-02-23,Snack,0,,143,Fruit Cocktail (canned 1 cup),Fruit,110.0,1.0,28.0,0.0
144,2026-02-23,Lunch,500,,144,Ramen (Instant 1 pack),Meal/Processed,380.0,9.0,53.0,14.0
145,2026-02-23,Snack,473,,145,Mocha Latte (16oz),Beverage,360.0,12.0,48.0,15.0
146,2026-02-23,Snack,0,,146,Cucumber Slices (1 cup),Vegetable,16.0,0.7,3.6,0.1
147,2026-02-23,Lunch,0,,147,Feta Cheese (1 oz),Dairy,75.0,4.0,1.2,6.1
148,2026-02-23,Lunch,0,,148,Olives (Kalamata 5 large),Fruit,35.0,0.2,1.0,3.5
149,2026-02-23,Dinner,250,,149,Chicken Alfredo (1.5 cups),Meal/Pasta,680.0,35.0,45.0,38.0
150,2026-02-23,Dinner,0,,150,Breadstick (1 large),Grain,160.0,4.0,28.0,3.0
151,2026-02-23,Lunch,500,,151,Cobb Salad,Meal/Protein,510.0,30.0,12.0,38.0
152,2026-02-23,Lunch,0,,152,Blue Cheese Dressing (2 tbsp),Condiment,150.0,1.0,2.0,16.0
153,2026-02-23,Snack,0,,153,Mandarin Orange (1 medium),Fruit,37.0,0.6,9.3,0.2
154,2026-02-23,Snack,0,,154,Cashews (1 oz roasted),Nut,163.0,4.3,9.2,13.1
155,2026-02-23,Breakfast,0,,155,Eggo Waffle (2 waffles),Grain/Processed,180.0,4.0,30.0,5.0
156,2026-02-23,Lunch,355,,156,Diet Soda (1 can),Beverage,0.0,0.0,0.0,0.0
157,2026-02-23,Lunch,250,,157,Pulled Pork Sandwich,Meal/Meat,480.0,25.0,48.0,20.0
158,2026-02-23,Snack,0,,158,Macadamia Nuts (1 oz),Nut,204.0,2.2,3.9,21.5
159,2026-02-23,Dinner,250,,159,Crab Cakes (2 medium),Meal/Seafood,340.0,20.0,18.0,20.0
160,2026-02-23,Dinner,0,,160,Tartar Sauce (2 tbsp),Condiment,60.0,0.2,2.0,5.5
161,2026-02-23,Snack,0,,161,Lemon Bar (1 square),Dessert,150.0,1.5,22.0,6.0
162,2026-02-23,Breakfast,240,,162,Almond Milk (Unsweetened 1 cup),Beverage/Dairy-Alt,30.0,1.0,1.0,2.5
163,2026-02-23,Breakfast,0,,163,Rice Krispies (1.5 cups),Grain,160.0,3.0,37.0,0.5
164,2026-02-23,Breakfast,0,,164,Sugar (1 tsp for cereal),Condiment,16.0,0.0,4.0,0.0
165,2026-02-23,Lunch,0,,165,Tuna (Canned 3oz in water),Protein/Fish,90.0,20.0,0.0,1.0
166,2026-02-23,Lunch,0,,166,Mayonnaise (1 tbsp),Condiment,90.0,0.1,0.1,10.0
167,2026-02-23,Lunch,0,,167,Pickle (1 spear dill),Vegetable,5.0,0.2,1.0,0.1
168,2026-02-23,Lunch,250,,168,Lobster Bisque (1 cup),Meal/Seafood,250.0,8.0,12.0,18.0
169,2026-02-23,Lunch,500,,169,Reuben Sandwich,Meal/Processed,650.0,28.0,35.0,40.0
170,2026-02-23,Lunch,0,,170,Sauerkraut (1/4 cup side),Vegetable,7.0,0.3,1.5,0.0
171,2026-02-23,Dinner,0,,171,Mushroom (White 1 cup sliced),Vegetable,15.0,2.2,2.3,0.2
172,2026-02-23,Breakfast,240,,172,Soy Milk (Original 1 cup),Beverage/Dairy-Alt,110.0,8.0,9.0,4.5
173,2026-02-23,Dinner,250,,173,Chicken Tikka Masala (1.5 cups),Meal/Meat,480.0,30.0,20.0,30.0
174,2026-02-23,Dinner,0,,174,Naan Bread (1 piece),Grain,260.0,8.0,45.0,5.0
175,2026-02-23,Dinner,0,,175,Cucumber Salad (1/2 cup),Vegetable,40.0,1.0,5.0,2.0
176,2026-02-23,Snack,180,,176,Vodka Soda (1 drink),Beverage,100.0,0.0,0.0,0.0
177,2026-02-23,Breakfast,250,,177,Chocolate Croissant,Dessert,350.0,6.0,40.0,19.0
178,2026-02-23,Dinner,0,,178,Sweet & Sour Chicken (1 cup),Meal/Processed,380.0,18.0,45.0,15.0
179,2026-02-23,Dinner,0,,179,Egg Drop Soup (1 cup),Meal/Vegetable,65.0,5.0,6.0,2.0
180,2026-02-23,Snack,0,,180,String Cheese (1 stick),Dairy,80.0,6.0,1.0,6.0
181,2026-02-23,Lunch,250,,181,Turkey Burger (1 patty),Protein/Meat,160.0,22.0,2.0,8.0
182,2026-02-23,Lunch,0,,182,Potato Salad (1/2 cup),Meal/Vegetable,180.0,2.0,19.0,11.0
183,2026-02-23,Breakfast,240,,183,Cranberry Juice (1 cup),Beverage,130.0,0.0,33.0,0.0
184,2026-02-23,Dinner,250,,184,Chicken Piccata (1 serving),Meal/Meat,350.0,30.0,10.0,20.0
185,2026-02-23,Dinner,0,,185,Angel Hair Pasta (1 cup),Grain,200.0,7.0,42.0,1.0
186,2026-02-23,Dinner,0,,186,Olive Oil (1 tbsp),Condiment,120.0,0.0,0.0,14.0
187,2026-02-23,Dinner,0,,187,Garlic (1 clove),Vegetable,4.0,0.2,0.9,0.0
188,2026-02-23,Snack,0,,188,Salami (3 slices),Protein/Processed,110.0,6.0,1.0,9.0
189,2026-02-23,Snack,0,,189,Provolone Cheese (1 slice),Dairy,100.0,7.0,1.0,8.0
190,2026-02-23,Snack,355,,190,Ginger Ale (1 can),Beverage,124.0,0.0,32.0,0.0
191,2026-02-23,Dinner,0,,191,Shrimp Scampi (1 cup),Meal/Seafood,380.0,22.0,40.0,15.0
192,2026-02-23,Snack,250,,192,Tiramisu (1 slice),Dessert,450.0,7.0,42.0,28.0
193,2026-02-23,Breakfast,250,,193,Cereal Bar (Fruit),Snack/Processed,140.0,2.0,30.0,3.0
194,2026-02-23,Dinner,250,,194,Veal Parmesan (1 serving),Meal/Meat,550.0,40.0,30.0,30.0
195,2026-02-23,Dinner,0,,195,Spaghetti (side),Grain,100.0,3.5,21.0,0.5
196,2026-02-23,Snack,240,,196,Hot Chocolate (1 cup),Beverage,200.0,3.0,30.0,8.0
197,2026-02-23,Dinner,0,,197,Coconut Shrimp (5 pcs),Meal/Seafood,320.0,10.0,25.0,20.0
198,2026-02-23,Dinner,0,,198,Sweet Chili Sauce (2 tbsp),Condiment,70.0,0.0,17.0,0.0
199,2026-02-23,Dinner,0,,199,White Wine (5 oz glass),Beverage,121.0,0.1,3.8,0.0
200,2026-02-23,Snack,250,,200,Trail Mix (1/4 cup),Snack/Processed,190.0,5.0,20.0,12.0
201,2026-02-23,Snack,0,,201,Onion Rings (6 rings),Snack/Processed,280.0,4.0,30.0,16.0
202,2026-02-23,Breakfast,0,,202,Poached Egg (1 large),Protein,72.0,6.3,0.4,4.8
203,2026-02-23,Breakfast,0,,203,Canadian Bacon (2 slices),Protein/Meat,80.0,12.0,1.0,3.0
204,2026-02-23,Breakfast,250,,204,Eggs Benedict (1 serving),Meal/Protein,600.0,25.0,30.0,40.0
205,2026-02-23,Breakfast,0,,205,Hollandaise Sauce (2 tbsp),Condiment,110.0,1.0,0.5,12.0
206,2026-02-23,Snack,0,,206,Spinach Artichoke Dip (1/4 cup),Snack/Processed,160.0,5.0,6.0,14.0
207,2026-02-23,Snack,0,,207,Tortilla Chips (1 oz),Snack/Processed,140.0,2.0,19.0,7.0
208,2026-02-23,Dinner,250,,208,Chicken Kebab (2 skewers),Meal/Meat,280.0,30.0,8.0,14.0
209,2026-02-23,Dinner,0,,209,Bell Peppers & Onions (sautéed),Vegetable,60.0,1.5,10.0,2.0
210,2026-02-23,Lunch,500,,210,Hummus Wrap (large),Meal/Vegetarian,450.0,15.0,60.0,18.0
211,2026-02-23,Snack,240,,211,Kombucha (1 cup),Beverage,30.0,0.0,7.0,0.0
212,2026-02-23,Dinner,0,,212,Beef Stroganoff (1.5 cups),Meal/Pasta,550.0,30.0,40.0,28.0
213,2026-02-23,Dinner,0,,213,Egg Noodles (1 cup cooked),Grain,220.0,8.0,40.0,3.0
214,2026-02-23,Lunch,250,,214,Cottage Cheese (1 cup low fat),Dairy,160.0,28.0,6.0,2.5
215,2026-02-23,Lunch,0,,215,Tomato (1 medium sliced),Vegetable,22.0,1.1,4.8,0.2
216,2026-02-23,Lunch,0,,216,Black Pepper (1 tsp),Condiment,6.0,0.2,1.5,0.1
217,2026-02-23,Snack,0,,217,Chocolate Pudding (1/2 cup),Dessert,150.0,2.0,28.0,4.0
218,2026-02-23,Dinner,0,,218,Mackerel (3oz cooked),Protein/Fish,175.0,16.0,0.0,12.0
219,2026-02-23,Dinner,0,,219,Collard Greens (1 cup cooked),Vegetable,60.0,5.0,10.0,1.0
220,2026-02-23,Lunch,0,,220,Ham (3oz deli sliced),Protein/Meat,110.0,16.0,2.0,4.0
221,2026-02-23,Lunch,0,,221,Swiss Cheese (1 slice),Dairy,106.0,7.6,1.0,8.0
222,2026-02-23,Lunch,0,,222,Rye Bread (1 slice),Grain,83.0,2.7,15.5,1.1
223,2026-02-23,Lunch,250,,223,Potato Leek Soup (1 cup),Meal/Vegetable,180.0,4.0,25.0,7.0
224,2026-02-23,Snack,0,,224,Brie Cheese (1 oz),Dairy,95.0,6.0,0.1,7.9
225,2026-02-23,Snack,0,,225,Water Cracker (5 crackers),Grain/Processed,70.0,1.5,12.0,1.5
226,2026-02-23,Breakfast,0,,226,Grapefruit (1/2 medium),Fruit,52.0,1.1,13.2,0.2
227,2026-02-23,Snack,0,,227,Veggie Straws (1 oz),Snack/Processed,130.0,1.0,17.0,7.0
228,2026-02-23,Dinner,500,,228,Fish Tacos (2 tacos),Meal/Fish,420.0,25.0,40.0,18.0
229,2026-02-23,Dinner,0,,229,Cabbage Slaw (side),Vegetable,60.0,1.0,8.0,3.0
230,2026-02-23,Dinner,0,,230,Lime (juice of 1),Condiment,11.0,0.2,3.7,0.0
231,2026-02-23,Snack,355,,231,Beer (12 oz light),Beverage,103.0,0.9,5.8,0.0
232,2026-02-23,Breakfast,250,,232,Danish (Cheese 1 medium),Dessert,340.0,7.0,38.0,18.0
233,2026-02-23,Breakfast,240,,233,Kefir (Plain 1 cup),Beverage/Dairy,104.0,10.0,10.0,2.5
234,2026-02-23,Dinner,0,,234,Gnocchi (1 cup),Meal/Pasta,210.0,4.5,45.0,1.5
235,2026-02-23,Dinner,0,,235,Pesto Sauce (1/4 cup),Condiment,260.0,5.0,4.0,26.0
236,2026-02-23,Dinner,0,,236,Pine Nuts (1 tbsp),Nut,95.0,2.0,2.0,10.0
237,2026-02-23,Snack,355,,237,Chai Latte (12 oz),Beverage,190.0,7.0,32.0,4.0
238,2026-02-23,Dinner,0,,238,Manicotti (2 shells cheese),Meal/Pasta,380.0,20.0,35.0,18.0
239,2026-02-23,Dinner,0,,239,Italian Sausage (1 link),Protein/Meat,200.0,12.0,3.0,16.0
240,2026-02-23,Snack,0,,240,Jicama (1 cup sticks),Vegetable,46.0,0.9,10.6,0.1
241,2026-02-23,Snack,0,,241,Chili Powder (1 tsp),Condiment,8.0,0.3,1.4,0.4
242,2026-02-23,Snack,250,,242,Ants on a Log (4 pcs),Snack,180.0,6.0,12.0,12.0
243,2026-02-23,Lunch,250,,243,Split Pea Soup (1 cup),Meal/Legume,180.0,11.0,30.0,2.0
244,2026-02-23,Breakfast,250,,244,Ham & Cheese Croissant,Meal/Processed,400.0,15.0,35.0,22.0
245,2026-02-23,Breakfast,60,,245,Espresso (double shot),Beverage,5.0,0.5,0.0,0.1
246,2026-02-23,Dinner,0,,246,Ricotta Cheese (1/4 cup),Dairy,85.0,5.5,2.5,6.0
247,2026-02-23,Lunch,250,,247,Chicken & Rice Soup (1 can),Meal/Processed,130.0,7.0,18.0,3.0
248,2026-02-23,Dinner,0,,248,Salt (1/4 tsp),Condiment,0.0,0.0,0.0,0.0
249,2026-02-23,Snack,0,,249,Guava,Fruit,68.0,2.6,14.3,0.9
250,2026-02-23,Lunch,500,,250,Club Sandwich,Meal/Processed,580.0,35.0,40.0,30.0
251,2026-02-23,Snack,0,,251,Pickle (1 whole dill),Vegetable,17.0,0.8,3.7,0.2
252,2026-02-23,Dinner,250,,252,Turkey Chili (1 cup),Meal/Meat,250.0,22.0,25.0,7.0
253,2026-02-23,Dinner,0,,253,Sour Cream (2 tbsp),Condiment/Dairy,60.0,0.8,1.3,5.8
